Response Time,Availability,Throughput,Reliability,Latency,Rank
347.2,85,1.9,58,8.8,1839
1347.91,88,2.6,73,28.55,2124
101.84,14,10.6,60,3.29,453
123.64,93,14.6,67,1.19,192
227,91,14.2,58,10.6,1203
334,92,1.5,67,38.8,2093
297.17,86,2.4,53,93.52,2291
137.81,63,2.5,73,11.12,975
196,83,32.8,83,3,362
516.67,63,7.2,83,10.67,1705
114.58,95,13.3,67,32.45,849
1035,71,8.4,73,6,1550
404,93,1.5,67,42.4,2198
151,85,28.4,83,18,668
169,83,21.9,83,37,962
213.17,99,1.2,60,44.34,1827
267.4,91,1.5,67,51,2051
266.74,85,4.4,53,82.44,2161
105.78,60,10.9,73,59.17,1064
275.5,71,7.2,78,124.5,2017
161,100,12.5,73,5,401
311.8,91,1.8,67,44.6,2086
182.33,100,11.6,73,63.33,1295
572,83,14.8,83,6,1235
939.7,98,2.4,73,481.1,2381
3163.2,93,2.3,73,40.2,2224
111,96,5.4,58,2.75,416
384.5,57,5.7,67,24.41,2013
127,90,23.1,67,9,554
133,86,7.7,73,10.67,702
102.2,90,3.3,73,2.2,276
503,16,5,67,43.71,2266
397.5,74,2.4,60,0.33,1280
123.7,93,15.9,67,0.7,138
66.5,72,13.7,80,5.5,224
287,90,8.1,60,16.94,1667
303,83,26.9,83,1,495
390,72,16.2,78,119,2062
398.17,66,2.8,80,70.75,2210
157,90,22.9,73,1,140
100,99,19.8,73,30.5,563
328.67,21,3.7,60,10.43,1867
299,90,14.9,73,109.5,1843
113.2,51,5.5,73,4,432
229.75,86,10.1,73,87.75,1714
80,99,36.3,80,13,295
332.11,31,4.5,60,118.67,2361
1316.75,88,3.8,80,308,2387
111.2,91,17.6,50,14.4,735
203,72,22.1,83,3,423
257,91,8.2,60,117.5,2045
205.12,100,12.3,67,0.62,367
126.25,100,3.6,60,39.5,1272
3150,98,2.9,73,31,2114
138.25,98,14.5,73,19.92,680
867.73,94,4,33,47.46,2337
3007.25,79,2.3,73,105.75,2429
279.74,85,4,53,67.44,2172
1479,96,7.5,73,2,1144
247.05,89,6.6,67,55.1,1844
287.4,91,1.3,50,36.6,2088
211.75,59,1.1,67,6,1294
307.75,71,2.1,73,2.37,1148
308.88,18,6,60,4.13,1456
217.5,78,9.5,73,55.25,1603
158,99,25.3,60,26,950
175.75,78,10.8,73,79.75,1507
582.85,56,4.4,67,113.66,2421
258.2,91,13.6,58,6.8,1119
188.31,100,11.8,67,6.23,673
335.5,78,3.6,73,81,2152
484.5,78,5.9,67,43.5,2204
371.17,74,2.7,73,111.84,2279
1383.33,91,3.2,73,41.83,2185
241.2,99,0.9,58,7.8,1486
248.4,98,1.4,58,10.2,1604
1987,56,1.9,60,7.73,2095
148.5,98,11.4,73,1,154
162.14,93,13.1,73,23.28,873
1479.78,65,2.8,73,44,2296
277.78,86,3.2,53,68.87,2183
411.12,39,6.2,73,24.87,1916
280.5,52,0.8,67,163.5,2370
142,96,29.3,73,17,606
97.04,94,11.9,67,39.12,853
311.8,93,12.1,58,7.8,1393
368,61,1,53,202.82,2475
332.5,71,11.8,83,4.5,1017
1147.3,27,3.2,60,1.91,1685
225.87,25,6.1,67,22,1657
175,86,9.4,73,3,466
2123,100,8.8,73,4,1297
132.5,95,1.8,60,48,1549
2835.56,97,2,73,13.45,1978
64.5,99,24.3,73,22,410
317,95,23.8,73,22,1356
564,83,13.7,89,122,2146
299.83,85,2.2,53,100.74,2320
121.46,61,13.9,67,9.15,684
214.4,89,14.6,73,6.6,671
224.2,95,14.3,73,10.4,872
329.7,85,1.8,53,84.48,2350
236.2,98,1.1,73,7.2,1138
97.33,88,1.7,73,1.33,253
563.5,90,4.3,72,50.33,2251
1529,72,5.3,83,6,1612
263.8,94,2.3,50,40.6,2002
211.57,89,4,83,15.93,1186
293.8,93,12.9,73,8,1032
174.1,55,10.2,67,28.03,1396
160.64,59,7.9,73,1.69,419
348,100,2.4,67,16.8,1818
975.9,59,2.7,67,372.67,2482
215.6,87,1.6,73,10.8,1305
580.5,72,4.4,67,19,2081
285.14,63,7.9,73,16.35,1547
724.82,99,4.7,60,13.53,1968
170.25,56,4.2,60,8.5,1184
316.28,86,7.2,33,25.52,1936
134,97,29.9,73,10,444
237.12,62,4.8,78,5.5,989
194.5,72,5.3,78,28,1374
121.33,90,10,73,8.33,499
315,100,26.2,83,5,685
413.62,99,8.9,80,2,805
498.5,91,4.8,60,31.17,2121
331,85,25,73,19,1457
117.58,66,4.2,73,2.5,393
193.36,51,8,67,74.52,1789
265.19,98,9.7,67,14.25,1414
464,67,2.2,80,38.42,2109
235.2,94,1.2,58,8,1490
137.75,78,13.4,73,1.75,242
733.08,30,4.4,73,1.33,1308
114.5,95,14.2,67,0.6,103
203,87,3.6,73,21,1324
240.25,78,9.1,73,2.25,677
560.62,100,2.2,78,41.85,2063
137,83,21.6,73,7,440
227,97,15.7,80,3,459
3166,72,3.7,83,1.5,1388
142.5,93,4.4,73,26.75,1026
65,99,31.6,80,21,366
195.75,86,13.3,67,1.13,477
406.25,91,1.7,73,205.75,2316
224.8,98,14.6,58,9.2,1062
305,86,21.7,73,1,540
153.5,93,12.7,73,4,372
1760.48,97,2.4,67,18.76,2137
269.83,85,4.5,53,74.96,2149
149.5,94,13.3,73,4,345
287.93,100,6.9,67,17.73,1572
209.6,92,16.2,73,5.8,577
256.96,85,4.5,53,81,2125
278.08,59,6.1,60,3,1188
143.67,100,1.8,60,48.67,1578
203.8,93,1.9,73,9.4,1100
260.6,94,1.8,67,45.8,1972
252.33,100,10.8,50,6.44,1094
232,85,12.8,78,5,708
168.5,88,5,60,1,516
138.06,100,11,60,2.06,374
523.75,94,6.9,73,64.5,2074
177,83,17.2,73,18,881
134.83,99,2.4,58,25.16,1282
174.5,99,2.5,80,1,351
134.08,97,15.4,73,10.16,514
191,84,5.4,53,97,1941
268.2,91,1.8,67,38,1937
328,85,12,58,9.6,1598
139,72,10.7,67,2,411
253.2,88,2.7,73,45.8,1801
413.5,98,11.4,80,4.5,994
208.4,94,1.1,73,9.2,1159
212.5,100,1.5,73,1,526
848.15,21,3.5,78,451.15,2433
95,83,24.1,73,3,116
1376,99,8.2,83,856,2272
477,94,14.2,73,2,822
266.6,88,1.9,67,43.2,1998
1783.25,93,1.9,53,14.25,2209
210.6,88,0.7,73,6.6,1082
171,83,18.6,80,5,449
222.6,85,1,58,8.4,1557
307.6,94,0.9,67,42.4,2090
205,73,1.4,58,12,1626
74.5,92,8.4,73,23.5,627
3997,90,1.7,73,11.4,2012
161,72,14,83,5,464
304.44,97,9.2,67,9,1369
198,96,22.4,73,2,283
156,72,9.4,73,27,1086
367.4,85,4.4,73,6,1364
211,87,24.6,73,1,271
212.4,96,1.6,73,11.2,1218
346.39,85,2.6,53,110.48,2386
765,99,16.5,73,6,1181
261,100,12.8,73,8.6,913
151.5,90,12.6,67,1,288
208.6,88,14.2,73,7.6,720
251,86,2.6,73,143,2048
112.75,78,6,73,1.75,252
91.8,97,24.7,73,8.8,259
218.8,89,1.4,73,9.2,1228
71.16,99,21.9,78,16.44,373
258.5,78,10.7,73,2.25,715
152,96,24.2,73,12,590
270.5,45,1.6,58,2.83,1416
196,69,9.7,73,44.75,1467
207.2,85,1.1,73,7,1095
317.59,91,7.7,67,46.24,1960
134,83,22.5,83,9,472
357.57,28,1,67,233,2458
113.09,53,8.4,60,7.18,694
853.6,88,6.1,60,55.2,2319
261.62,21,1.5,53,14.12,1921
144.5,96,22.3,67,19.5,788
126.5,14,6.3,60,65.09,1606
115,83,24.6,73,5,237
281,83,19.4,80,4,729
148.33,92,2,73,1.66,435
539,95,3.6,60,42,2222
265,85,13.6,67,42.6,1740
405,85,6.5,73,16.3,1743
176.67,96,3.5,60,61.34,1728
241.8,94,13.6,73,7.8,811
416.33,46,5.1,83,6.33,1476
142.56,60,7.9,73,86,1478
2911.29,17,1.4,67,17.04,2312
308,93,12.9,78,1,566
369.4,61,6.9,73,29.6,1866
1668,63,3.9,67,239.33,2480
205.33,90,3.5,60,48.33,1791
397,56,5.5,67,50,2219
463.6,94,2.1,73,23.2,1927
182,92,15.7,67,54,1421
401.2,92,3.2,73,51.2,2064
404.2,87,1.2,67,45,2264
208.6,88,1.2,73,8.6,1165
266.87,85,4,53,54,2078
124.33,96,7.7,80,43,917
48.15,60,5.2,60,2.03,375
141.77,56,7.5,67,88.31,1646
203,89,0.8,73,6,966
184,100,12.1,80,1,202
1703,83,9,83,6,1504
114,83,24.1,73,4,208
2324.27,93,1.6,60,1591.09,2496
2967,90,5.1,73,41,2164
125.88,69,10.5,73,66.88,1214
120.83,64,5.4,73,69.16,1346
932,67,3.9,73,5.75,1660
319.25,89,2.6,73,99.5,2138
230.48,82,8.3,53,57.44,1923
210,97,25.2,73,16,813
50,72,13.3,73,4,173
215.5,78,6.9,73,79,1741
837,72,6.8,67,135.5,2415
212.5,100,13,78,6,582
525.5,94,3.4,67,5.6,1611
253,100,10.6,67,18,1391
245.6,99,1.6,50,40.8,1950
357.8,87,1.2,73,7,1566
153.32,97,9.2,60,2.96,506
237.8,99,14.3,73,9.6,858
257.2,87,1.7,58,8.4,1613
3055,56,2.4,83,2.75,1573
133,100,7.7,60,48.25,1286
1832.67,89,3.3,67,4,1711
230.6,97,14.2,73,9.6,844
130.2,62,1.9,53,5.53,907
2561.33,87,1.2,67,28,2322
246.4,100,1.9,67,42.8,1830
188.25,88,1.7,58,9.75,1405
167,85,24.6,73,2,249
687,94,15.6,73,200,2156
126,94,1.9,60,37.67,1408
303.33,73,3.7,73,0.33,793
538,97,10.2,73,2,919
748,100,17.3,80,29,1699
171.47,56,9.2,67,29.74,1412
234.4,98,2.7,67,26.6,1659
104.6,51,6.7,83,24.2,802
272.43,85,1.9,53,69.39,2230
421,86,9.7,73,2.5,1022
103.25,97,1.2,80,39,1006
320.67,93,10.6,73,136,1988
233.4,91,1.4,58,7.2,1452
366,88,8.3,73,52,1939
227,92,0.9,58,8,1494
79.65,61,13.3,67,2.75,268
186,86,11.3,60,6.5,831
782,84,1.5,73,3,1537
107,83,31.3,73,3,127
311,83,15.2,60,7,1322
137.22,96,1.6,73,75,1488
115,86,8.8,73,61.5,1098
122,39,1.1,33,7.85,1141
349.8,92,1.4,67,39.4,2129
294.04,85,5.2,53,92.56,2232
208.6,89,0.8,67,42,1821
125.5,86,21.3,73,2,142
4637.61,30,0.5,67,4140.35,2505
365.5,79,2.5,73,18.25,1853
222,92,1.6,58,9,1481
260.6,93,2.1,67,39,1877
76.88,92,17.4,60,26.47,710
241.5,78,7.7,67,71.5,1930
352,83,11.6,73,156,2101
141,90,1.9,67,25,1330
306,90,5.5,73,14.5,1538
215.6,91,15.9,73,5.4,594
83,92,24.8,73,10.6,337
189.5,72,14.9,83,7.5,652
71.75,59,1.2,67,4.5,621
478.5,99,8.4,42,7,1609
221.2,92,14.2,73,9.2,821
174.11,60,7.5,60,104.28,1841
837.25,78,5.7,73,55,2227
117,86,20,73,2.5,159
155.83,92,1.1,73,5.66,732
243.91,85,7.1,53,57.91,1971
106.77,12,13,60,8.92,693
280.61,85,4.8,53,85.7,2195
306,90,12.6,73,7,1040
456.79,85,6.8,60,137.37,2371
287.36,89,9.7,73,6.27,1005
1733.09,97,2.8,73,11.36,1878
1316.17,75,1.2,73,81,2410
157,90,11.3,60,61,1505
297.8,91,0.9,73,6.4,1394
260.69,78,4.7,67,27.46,1793
226,85,9.3,60,67,1845
132.18,13,9,33,6.57,807
257.4,89,13.9,73,11.6,1123
164,94,13.6,73,22.29,846
156.29,93,0.8,60,52.29,1768
963,95,11.1,58,6,1600
136.38,70,4.8,73,5.88,614
108,86,17.7,73,3.5,182
257.45,13,4.3,60,108.52,2234
243,88,13.8,73,10.2,1015
3439.83,66,1.6,73,157.5,2471
184.5,97,4.2,60,71.5,1757
158.8,98,20.1,67,1.2,251
102.64,83,13.3,78,48.36,875
117,88,11,73,7.33,430
126.4,89,18.9,73,1.2,107
372.7,91,4.4,73,2.1,1044
175.67,73,5.5,73,56.5,1553
463.6,91,2,73,98.4,2278
159.5,98,2.8,73,16.5,1010
267,98,9.5,80,2,569
137,86,8.6,73,2,282
108,86,0.7,73,0.33,265
141,100,9.5,73,9,552
172.5,72,14,83,7,591
246.25,88,6.3,73,17,1372
166,89,7,80,43.75,1244
159.29,41,6.6,60,44.61,1642
237,97,20.7,73,35,1212
785,83,10.8,83,46,2018
481.67,85,6.6,73,10.67,1695
1015,83,1.3,73,4,1658
373,94,20.3,80,20,1448
302.33,53,6,67,12.03,1742
499,83,19.7,83,31,1733
60.18,93,13.1,67,8.93,428
127.5,98,12.4,73,11,543
634.4,92,2.8,80,41.2,2076
2457.5,96,2,73,1.5,1359
859,92,16.2,73,2,933
461,98,6.7,60,14.57,1833
222.47,97,8.5,60,12.61,1291
97,90,7.3,73,2.2,187
850.92,88,3.9,67,476.42,2450
188.8,99,1,73,6.8,878
905,96,1.6,73,3,1463
96.5,86,13.3,73,3,155
529,95,3.1,73,15,1811
602,99,6.6,73,10.33,1631
350.5,86,12,73,55.5,1881
86,98,20.7,50,3,214
291.09,84,1.3,53,106.44,2353
194.6,90,1.9,58,5.4,1088
262.5,92,6.9,60,83.5,2010
207,86,13.5,73,78.5,1531
166.43,65,2,80,10.93,1110
328,94,12.3,73,10.6,1299
140,89,7,73,9.67,690
338.87,86,2.5,53,97.09,2356
182,100,29.2,80,1,118
285.57,85,3.1,53,71.61,2221
188.67,68,0.6,67,60,1967
110,83,27.6,83,10,386
244.17,99,3.7,80,1,529
509.5,86,12.6,73,37,1861
111.08,86,13.6,53,13.32,770
51.67,98,0.8,73,0.67,132
345,72,10.3,83,2,823
124.17,94,2.1,73,30.84,1052
872,83,15.4,78,14,1707
113,100,11.3,73,6.67,315
259.8,88,13.4,67,45.2,1730
233,89,1.6,73,8.8,1265
244,86,26.7,83,2,427
163,96,16.2,73,12.25,661
202.4,89,1,73,9.2,1187
246,86,8,73,74.5,1769
163,83,20.4,73,5,442
127.75,94,4.1,73,1.25,248
716,54,3.9,67,62.12,2388
445.43,96,8.8,80,6.14,1208
353.17,66,2.3,80,42.84,2055
157.2,53,1.5,50,4.2,1067
208,92,1.1,73,9.2,1173
146.5,90,17.6,73,3,256
498.67,90,6.3,73,9.34,1610
248.31,12,7.3,53,9.46,1560
220.8,93,1.7,73,8,1103
252.35,85,5.3,53,53.96,2014
292.21,56,6.5,67,54.42,2066
960.29,32,3.1,60,865.29,2495
275.87,85,3.8,53,94.61,2228
1238.17,47,3.4,72,43.45,2364
1326.5,86,6.8,73,41,2106
1146,34,1.7,67,1054.64,2498
462.5,78,2.7,73,177.5,2357
388.5,73,2,58,1,1370
338,66,4.5,80,65.08,2071
208.6,67,4,73,56.1,1729
538,98,14.5,73,55,1910
284.65,86,3.1,53,96.22,2259
201.2,97,1.2,73,8.4,1039
703.25,92,3.6,73,265.25,2346
84.71,18,4.8,72,2.92,447
269,95,0.9,67,48,2047
3698.04,60,1.1,67,76.79,2483
133.75,89,3.4,60,33.75,1390
234,87,15.4,73,2,486
512.88,99,6.8,67,17.88,1851
320.48,86,1.2,53,125.18,2405
82,72,13.8,67,4.5,344
541,100,21.6,83,16,1460
161,98,17.6,73,50.2,1037
287.22,86,5.5,53,77.57,2165
50.07,27,11.2,67,5.93,413
409.5,86,1.7,58,173.5,2449
443.4,95,1.6,67,40.8,2197
162.8,51,4.3,58,6.8,1069
65,67,5.6,73,23.7,761
133,92,0.8,80,18.25,1036
73.5,87,23.8,73,18.75,471
131.36,90,2.3,60,4,667
428,74,1.4,73,11.83,1889
136,56,5.3,50,7,925
305.4,93,12.2,73,7.8,1083
503.67,63,4.9,73,18,1909
184.5,90,9.4,60,33.62,1439
129,13,8.9,33,8.39,914
315.85,90,9.9,72,1.65,879
143.65,19,4.1,60,9.69,1153
256.2,98,1.4,73,39.6,1753
323,83,23.9,83,9,1114
312.43,88,9.6,72,16.36,1654
512,93,10.4,73,64,2019
1334,100,8.3,73,89,2187
189,83,27.6,78,1,227
191,83,21,67,12,988
514.5,86,1.4,73,15,1956
285.3,69,1.6,73,2.2,1108
159.5,71,20.2,80,5.5,456
335.58,65,8.9,73,3.75,1104
308.45,87,9.3,67,0.9,783
131.57,80,2.3,53,6.5,928
443,98,10.1,58,5.8,1458
156,83,20.5,67,28,1085
149.67,86,11.2,73,82,1334
371.35,87,1.4,53,126.61,2427
85.25,78,9.2,73,3.5,241
237.33,63,4.3,67,120,2123
216.27,52,5.4,67,88.1,1975
420.33,100,3.3,73,131.66,2214
597.5,98,3.7,60,43.5,2237
774.25,56,5.2,80,6.75,1645
181.12,95,11.3,53,37.41,1423
203,57,1.2,67,110.5,2113
168.17,93,14.2,73,18.5,812
563.22,86,2.6,73,1.66,1258
214,93,1.3,58,8.6,1437
210.4,90,4.3,73,8.4,972
386,87,20.5,73,13,1431
65,83,24.3,78,4,111
402,92,10.7,58,10,1683
1817,71,2.7,73,68.5,2368
413.33,100,12,78,27,1640
143,99,16.6,73,42,855
139.5,46,6.2,73,8,727
250.4,93,2,50,45.4,2021
179.5,98,8,80,0.5,230
220,95,22,80,21,944
71.21,71,10.7,67,6,424
447.4,86,9.4,73,12.6,1638
383.2,98,2.1,73,6.2,1418
266.4,95,1,73,8.4,1385
803,83,1.2,83,445,2432
92.59,91,17.4,72,1.35,115
532.4,51,4.9,67,11,1973
77.43,42,5.5,78,3.29,316
146.08,57,10.2,53,52.93,1576
314.62,96,5.9,83,70.24,1870
2808.33,87,2.3,73,0.5,1283
1104.67,47,3.1,83,29.84,2144
324,88,0.9,73,7,1523
158,72,10.4,67,10.5,965
133.33,95,8,73,10,617
136.17,89,8.4,73,11.17,698
171,86,16.5,73,2,296
275.87,85,6.5,53,74.44,2116
154.5,100,12.2,73,5,389
216.6,94,1.8,73,7.8,1051
765.5,99,4.4,80,560.5,2310
261.09,85,5.4,53,69.13,2084
327.86,94,6.3,67,4.22,1221
231.8,94,15.3,73,5.8,650
108,83,26.2,83,7,257
70.23,17,8.3,60,5.58,520
201.6,91,1.5,73,7.8,1023
257,94,1.2,67,37.2,1905
64.96,18,4.3,60,5.15,578
192,91,5.1,60,62.5,1766
484.5,79,7.6,73,186,2280
139.5,85,23.2,83,19,654
208.5,100,11.3,80,50.5,1303
144.75,56,10.7,73,4.5,491
138,86,15.4,73,15,679
943.5,77,4.4,73,88,2327
146.83,85,2.1,83,95.58,1592
3356.5,91,1.5,60,19.07,2282
150.4,20,6.5,60,6.8,921
448.67,65,1.1,73,127.34,2403
206,95,1.2,73,8.8,1107
128.5,86,6.4,73,88,1349
312.67,63,8.6,83,40.34,1778
482,85,16,73,1,765
3283,92,1.6,73,35.75,2233
56.2,97,22.5,67,7,243
369.83,66,2.9,80,76.5,2193
347,95,1.2,67,43.4,2160
164.8,99,5,73,4.2,522
123,96,14.6,83,68.5,900
126,83,12.7,73,17,716
543,95,9.3,73,7.4,1419
135.25,78,3.4,73,1.5,396
123.92,66,3.6,73,3.75,502
55.75,78,10.4,73,3.5,189
312,88,3,73,47,1962
411.83,85,0.4,53,142.96,2469
148,94,17.1,73,2.5,232
251.5,86,12.7,67,77,1836
330.5,65,7.8,73,13.33,1614
353.26,85,2.5,53,113.91,2397
1377.55,88,1.6,73,41.37,2255
256.6,99,0.8,67,40.6,1929
126.17,98,12,67,22.77,825
249.08,12,8.7,53,7.23,1415
620.25,91,8.5,78,13.75,1710
98,94,0.7,73,3,370
226,78,7.9,73,65.25,1722
1422,90,3.6,73,19,2005
240.6,86,1.2,73,11,1473
333,83,21.9,83,7,1018
312.5,21,3.1,42,25.9,2115
166.5,87,16.7,67,59.5,1420
555,83,5.6,73,111,2293
252,93,0.7,67,39.6,1949
122.27,53,6.5,67,81.27,1552
191.33,95,1.5,73,0.66,476
174,83,19.3,73,4,434
532.75,78,5.5,67,26,2100
303.43,85,1.8,53,116.73,2360
283,83,20.3,73,13,1219
112.83,98,4.1,73,45.16,1011
135,83,20.6,67,21,877
994.26,30,2.8,67,88.47,2456
142.5,92,1.4,73,1.5,429
178.4,87,9.7,73,65.8,1443
83.31,99,17.8,67,9.69,421
329.5,91,16.3,73,128.5,1938
90,83,21.8,78,3,113
173,83,11.5,73,20,998
79.12,70,5.3,73,2.87,272
154,83,23.5,83,5,361
265.4,99,1.5,67,35.2,1862
729,94,15.2,73,480,2196
333,83,14.9,83,6,1002
161,83,25.6,78,4,359
124.67,85,16.6,73,48.34,945
53,83,21,60,4,239
166,83,28.1,83,6,420
144.83,91,4,67,6.5,754
508.94,96,6.7,67,14.63,1829
374.67,63,6.3,73,15.67,1754
173,67,0.5,73,1.67,659
104,99,1.1,73,1.33,240
111,87,27.4,58,2,213
134.5,72,15.9,78,11,632
171,83,20.1,83,3,325
173,100,18.3,73,27,824
539.29,63,6.2,80,324.79,2333
280.39,86,6.4,53,88.78,2155
173.88,99,3,73,1.5,426
297.38,71,1.9,73,6.38,1424
1074.3,14,3.1,60,4.72,1871
300.61,85,4.8,53,105.78,2267
1818.64,62,2.4,73,37.35,2265
228.2,86,14.8,73,8,815
230.89,79,11,60,4.11,947
128.8,98,11.6,73,4.39,294
299.36,99,9.7,67,0.93,674
221,87,1.2,73,6,1047
198.5,72,15.1,83,6,604
269.5,86,11.8,73,62.5,1748
251.5,88,4.2,60,141,2168
80.55,94,13.6,60,26.19,746
46,72,15.4,73,3,104
368,90,12.2,60,14.2,1719
184.5,73,3.2,73,1.5,568
133.04,17,3.5,42,20,1446
126.67,94,9.5,73,0.67,106
300.2,89,2.4,73,49.4,1958
346.5,86,16.9,73,270,2026
151.33,97,6.9,73,8.66,648
160.5,86,17.2,73,3,329
219.2,94,1.1,73,8.4,1164
278.75,86,9.2,83,1.75,643
107,83,27.6,83,9,343
201.8,94,1.6,73,8,999
150.33,90,1.7,60,49.66,1697
254,84,1.9,73,7,1261
294.5,87,14.5,73,66,1771
505,100,6.1,73,11.33,1633
95.38,62,13.7,73,55.88,943
207.8,86,1.6,58,9.2,1474
490,98,12,73,140,2096
221.75,78,9.2,73,82.75,1727
139,83,20.9,67,3,377
332,97,10.4,80,2.29,762
2187.5,97,0.9,80,23.25,2117
1075.2,90,3.4,73,142.6,2369
238.5,73,7.4,73,72.83,1795
163,83,22.8,78,5,415
336,88,12,73,11.6,1444
2909.47,94,1.3,67,34.68,2321
146,90,6.7,73,12.67,792
152.56,94,17.7,73,18,713
148.69,95,14.4,67,5.92,525
121.15,88,6.4,67,8.2,695
496.43,48,0.8,67,338.86,2484
1321.5,78,4.1,73,27.25,2110
200,91,30,80,12,723
604.33,63,6.8,67,6.66,1746
288.21,93,7.7,67,16,1577
111,72,15,83,6.5,328
259,56,4.1,67,12.75,1676
107,87,1.9,73,58.33,1270
356.96,85,2.2,53,133.7,2414
240.3,56,1.3,60,8.5,1647
162,98,13,73,1,167
307.3,17,3.8,42,20.23,2029
108.5,86,16.5,80,2.5,125
230.91,99,10.7,67,20.32,1336
219,99,16.4,80,1,245
238,87,3.8,80,1.17,637
200.8,93,2.4,73,7.4,912
163.67,99,2,60,50.67,1678
115,83,22.3,83,4,186
341,100,23.6,73,20,1355
243.07,89,4.6,53,59.53,2003
236.3,90,4.5,53,56.97,1965
244,78,6.9,73,54.25,1761
491.8,90,9.8,73,12,1615
120,83,19.3,73,14,585
292,86,3.8,53,90,2243
1078.33,84,5.8,72,92.33,2398
874.75,56,3.4,73,102,2391
481.9,94,2.1,67,6.7,1713
409,84,1,53,167,2470
64.4,95,4.1,73,9,463
217.6,94,14.1,73,10.6,850
208.22,61,7.6,73,81.83,1724
149,96,33.9,58,43,1127
275.8,85,12.1,73,8.8,1131
379,63,5.6,73,18.67,1804
179,79,2.8,73,29.75,1436
243.02,90,4.2,53,56.36,1997
270.4,87,2.4,67,52.6,2039
119,61,2.9,53,5,766
110,83,20.8,58,6,465
274.78,85,3.6,53,88.74,2217
298,99,10.3,83,20,1340
113,83,22.3,83,4,178
108,83,23.4,80,3,128
341.4,86,1.9,58,27.6,2122
116,99,24.5,60,14.5,626
116.28,54,8.8,60,9.71,826
126,83,31.4,83,3,156
229,98,13.9,73,7.6,739
151,92,12.2,73,4.5,403
782,100,16,80,2,819
277,86,4.4,73,44.6,1807
141.5,93,17.6,67,12,725
139,89,18.2,73,1,108
163,90,3.3,67,25,1381
236.6,94,2.3,73,4.6,904
300,94,27.2,73,14,1150
133.62,70,4.9,73,2.37,437
135,83,29.7,80,2,148
386,96,2,67,45.4,2171
156,86,23.3,80,2,207
129.2,86,3.5,67,1.4,450
575.5,86,6.4,67,1,1180
123,78,10.4,73,3.5,339
111,83,29,83,8,314
2482,94,5.6,73,2,1245
329.8,51,6,73,30.6,1856
352.4,55,4.9,67,76.78,2271
226,97,14.6,73,11.2,894
227.4,89,1.1,73,7.6,1197
248.6,91,2.7,73,44.4,1756
282.6,89,2.3,73,37.8,1809
606.5,56,3.3,67,311.5,2463
144.75,98,2.1,73,2.25,446
79.35,96,19.1,67,24.59,624
74,32,2.3,80,2.42,333
236,83,17.2,89,7,745
330.2,99,2.4,73,38.2,1850
3157.61,23,1.3,78,60.11,2417
472.8,96,10.2,58,6.4,1529
194,72,14.1,83,6.5,634
269.09,85,3.9,53,84.92,2190
132,83,14.3,73,16,704
315,83,15.2,83,36,1590
1516.67,91,2.7,73,48.17,2252
3484,87,5.8,73,4,1527
111,98,0.8,67,27,1175
235.9,61,4,73,86.9,1933
55.5,81,19.1,73,4.75,161
262.37,34,5.9,67,35.48,1872
46.05,89,20.7,67,4.48,193
231,83,19.6,83,8,767
268,83,17.2,67,37,1665
627,83,12.8,78,541,2263
114,86,11.3,73,6.33,381
1235,88,3.6,42,10.17,2080
86.75,94,23,73,18.75,460
254.6,96,2.4,73,37.6,1691
154.1,53,8.6,67,72.62,1644
306.2,95,9.8,73,21.2,1498
1259.33,37,2.9,67,44.77,2389
218.6,93,1.1,73,5.4,948
1226,91,6.3,73,3,1307
570.5,99,8.3,67,484,2326
69.33,91,1.7,80,2,211
116,98,16.7,67,1.33,143
116,89,12.9,67,1.5,226
192.25,89,11,78,1,305
400.5,56,5.6,80,8.5,1574
102,91,9.2,67,1,153
298,83,26.5,83,3,646
82,83,24.3,73,5,169
363,63,8.4,67,43.67,2072
392.5,91,6.3,73,89.75,2092
293.09,86,5.1,53,90.87,2216
338.2,99,5.6,73,46,1842
262.5,86,4.2,73,17.25,1525
131.15,90,14,60,1.23,284
77,50,9.2,78,3.2,238
204,94,2,73,8.2,1000
303.1,34,10.4,73,2.4,897
48.35,10,14.9,67,2.92,233
125,100,17.4,67,2,181
415.93,95,7.3,67,10.29,1687
305.4,89,1.4,50,40,2176
374,88,10.4,67,0.67,859
123,91,7,67,7.83,642
202.4,85,0.8,73,7.4,1120
486.4,81,2.2,60,4,1709
149.67,89,1.1,73,13,1084
1418.2,80,3.5,73,43,2248
165,89,13.6,80,2,266
146.43,98,1.9,83,1.5,349
220.8,85,0.8,73,10.8,1432
98.4,93,18.9,73,23.8,547
303.65,85,3.4,53,86.35,2273
303.8,93,13,73,6.4,959
167.5,55,6.3,67,26.67,1459
270.2,86,4.3,73,44.8,1798
93.5,86,9,73,3,198
685.86,22,3.2,33,22.14,2304
280,79,2.3,80,2,906
101.5,90,1.4,58,8.25,838
430.5,40,3.3,73,13.25,1864
2326.29,64,1.9,73,7.93,1928
117.5,89,3.2,73,0.5,203
183,89,5.8,73,3,535
147,94,27,89,3,175
409,87,18.1,73,1,678
386.44,27,6,60,8.2,1785
1099,95,10.6,73,28,1863
232.83,46,4.9,78,11,1331
1939,99,6.9,73,1,1019
725.63,88,3.5,67,1.47,1427
718,86,3.3,67,54.5,2329
283.17,84,2.6,53,101.56,2300
336,88,2.3,73,236,2262
132.73,86,14.3,73,34.91,863
